http://www.engineeringtoolbox.com/ice-thermal-properties-d_576.html
temperature in K	density	thermal conductivity	specific heat
173.14999999999998	925.7	3.48	1.389
183.14999999999998	924.9	3.34	1.463
193.14999999999998	924.1	3.19	1.536
203.14999999999998	923.3	3.05	1.609
213.14999999999998	922.4	2.90	1.681
223.14999999999998	921.6	2.76	1.751
233.14999999999998	920.8	2.63	1.818
238.14999999999998	920.4	2.57	1.851
243.14999999999998	920.0	2.50	1.882
248.14999999999998	919.6	2.45	1.913
253.14999999999998	919.4	2.39	1.943
258.15	919.4	2.34	1.972
263.15	918.9	2.30	2.000
268.15	917.5	2.25	2.027
273.15	916.2	2.22	2.050
