http://www.engineeringtoolbox.com/carbon-dioxide-d_974.html
Temperature	Specific Heat
175	0.709
200	0.735
225	0.763
250	0.791
275	0.819
300	0.846
325	0.871
350	0.895
375	0.918
400	0.939
450	0.978
500	1.014
550	1.046
600	1.075
650	1.102
700	1.126
750	1.148
800	1.168
850	1.187
900	1.204
950	1.220
1000	1.234
1050	1.247
1100	1.259
1150	1.270
1200	1.280
1250	1.290
1300	1.298
1350	1.306
1400	1.313
1500	1.326
1600	1.338
1700	1.348
1800	1.356
1900	1.364
2000	1.371
2100	1.377
2200	1.383
2300	1.388
2400	1.393
2500	1.397
2600	1.401
2700	1.404
2800	1.408
2900	1.411
3000	1.414
3500	1.427
4000	1.437
4500	1.446
5000	1.455
5500	1.465
6000	1.476
